text,label
"Win money now click here",phishing
"Free gift card available now",phishing
"Your account has been hacked click here",phishing
"Urgent update your bank details",phishing
"Claim your prize now",phishing
"Meeting at 10 AM tomorrow",safe
"Let's go for lunch",safe
"Project submission is due today",safe
"Call me when you are free",safe
"Happy birthday have a great day",safe
"Congratulations! You have won a lottery",phishing
"Click here to verify your account",phishing
"Your ATM card is blocked update now",phishing
"Limited offer buy now",phishing
"Reset your password immediately",phishing
"Join meeting at 2 PM",safe
"Dinner plan tonight?",safe
"Your order has been shipped",safe
"Assignment submission tomorrow",safe
"See you at college",safe
"Bank alert suspicious login attempt",phishing
"Verify your email now",phishing
"Get free recharge today",phishing
"Important notice from IT department",safe
"Team outing this weekend",safe